time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1781598681.06604218,0.00467842,15165,0.00001714,0.00000000,0,0.00000000,1067,1062,3,0.00068577
1781598681.16602373,0.00500161,15109,0.00001128,0.00000000,0,0.00000000,1062,1065,5,0.00044266
1781598681.26603746,0.00470958,15122,0.00000673,0.00000000,0,0.00000000,1065,1066,1,0.00076613
1781598681.36596584,0.00353255,15152,0.00000032,0.00000000,0,0.00000000,1066,1066,0,0.00139755
1781598681.46608067,0.00320120,15132,0.00001520,0.00000000,0,0.00000000,1066,1064,4,0.00085025
1781598681.56599069,0.00377995,15105,0.00000772,0.00000000,0,0.00000000,1064,1066,2,0.00079865
1781598681.66598272,0.00344506,15070,0.00000615,0.00000000,0,0.00000000,1066,1068,2,0.00094697
1781598681.76574087,0.00385366,15199,0.00000564,0.00000000,0,0.00000000,1068,1069,1,0.00077343
1781598681.86605906,0.00529393,15194,0.00000386,0.00000000,0,0.00000000,1069,1069,1,0.00066697
1781598681.96597672,0.00483195,15136,0.00002005,0.00000000,0,0.00000000,1069,1052,1,0.00086326
1781598682.06601787,0.00356075,15094,0.00000522,0.00000000,0,0.00000000,1052,1053,2,0.00086574
1781598682.16607785,0.00353074,15140,0.00000046,0.00000000,0,0.00000000,1053,1053,0,0.00094599
1781598682.26600218,0.00367252,15229,0.00000031,0.00000000,0,0.00000000,1053,1053,0,0.00044650
1781598682.36608982,0.00475892,15100,0.00000780,0.00000000,0,0.00000000,1053,1055,2,0.00156366
1781598682.46605229,0.00713240,15125,0.00003070,0.00000000,0,0.00000000,1055,1051,2,0.00079932
1781598682.56593466,0.00356472,15244,0.00002690,0.00000000,0,0.00000000,1051,1029,2,0.00044936
1781598682.66612029,0.00534378,15146,0.00000066,0.00000000,0,0.00000000,1029,1029,0,0.00082785
1781598682.76605415,0.00368560,15054,0.00000299,0.00000000,0,0.00000000,1029,1029,1,0.00045413
1781598682.86596918,0.00349984,15188,0.00002095,0.00000000,0,0.00000000,1029,1032,3,0.00161682
1781598682.96609879,0.00619409,15051,0.00001142,0.00000000,0,0.00000000,1032,1034,3,0.00187192
1781598683.06595945,0.00462379,15077,0.00000660,0.00000000,0,0.00000000,1034,1035,2,0.00046769
1781598683.16598725,0.00470832,15193,0.00000051,0.00000000,0,0.00000000,1035,1035,0,0.00049971
1781598683.26597333,0.00466922,15182,0.00002254,0.00000000,0,0.00000000,1035,1032,4,0.00073658
1781598683.36602831,0.00524108,15106,0.00000835,0.00000000,0,0.00000000,1032,1034,2,0.00109288
1781598683.46591878,0.00478089,15232,0.00000643,0.00000000,0,0.00000000,1034,1035,2,0.00049804
1781598683.56611586,0.00486490,15159,0.00000407,0.00000000,0,0.00000000,1035,1036,1,0.00084958
1781598683.66596770,0.00351669,15146,0.00000813,0.00000000,0,0.00000000,1036,1038,2,0.00170463
1781598683.76591206,0.00475772,15075,0.00007378,0.00000000,0,0.00000000,1038,1006,2,0.00076659
1781598683.86590695,0.00456524,15151,0.00000897,0.00000000,0,0.00000000,1006,1008,2,0.00200836
1781598683.96589541,0.00445723,15126,0.00001091,0.00000000,0,0.00000000,1008,1009,1,0.00053774
1781598684.06605601,0.00533412,15014,0.00001495,0.00000000,0,0.00000000,1009,1008,2,0.00044233
1781598684.16587877,0.00387448,15214,0.00000642,0.00000000,0,0.00000000,1008,1009,2,0.00069555
1781598684.26602149,0.00368724,15149,0.00001127,0.00000000,0,0.00000000,1009,1003,4,0.00096316
1781598684.36586118,0.00484685,15250,0.00001195,0.00000000,0,0.00000000,1003,1000,2,0.00251839
1781598684.46601105,0.00340436,15097,0.00000552,0.00000000,0,0.00000000,1000,1002,2,0.00087572
1781598684.56594205,0.00382578,15179,0.00000042,0.00000000,0,0.00000000,1002,1002,0,0.00089299
1781598684.66593862,0.00379256,15151,0.00000597,0.00000000,0,0.00000000,1002,1004,2,0.00076262
1781598684.76586771,0.00536609,15110,0.00001789,0.00000000,0,0.00000000,1004,1008,5,0.00108282
1781598684.86589003,0.00471279,15259,0.00000520,0.00000000,0,0.00000000,1008,1009,1,0.00150609
1781598684.96600151,0.00586383,15265,0.00006666,0.00000000,0,0.00000000,1009,1011,5,0.00204788
1781598685.06594872,0.00375859,15306,0.00000554,0.00000000,0,0.00000000,1011,1012,1,0.00239107
1781598685.16576552,0.00370385,15386,0.00002376,0.00000000,0,0.00000000,1012,1009,4,0.00077232
1781598685.26598692,0.00339486,15182,0.00000888,0.00000000,0,0.00000000,1009,1014,5,0.00217546
1781598685.36592865,0.00315130,15248,0.00000034,0.00000000,0,0.00000000,1014,1014,0,0.00077248
1781598685.46588326,0.00324389,15344,0.00000361,0.00000000,0,0.00000000,1014,1015,1,0.00086895
1781598685.56594682,0.00318577,15295,0.00001124,0.00000000,0,0.00000000,1015,1014,2,0.00068495
1781598685.66593766,0.00358076,15307,0.00000137,0.00000000,0,0.00000000,1014,1014,1,0.00044268
1781598685.76595736,0.00480589,15216,0.00001348,0.00000000,0,0.00000000,1014,1012,3,0.00046767
1781598685.86587334,0.00445541,15107,0.00000761,0.00000000,0,0.00000000,1012,1014,2,0.00056318
